Cruise,Station,Target_Asset,Start_Latitude,Start_Longitude,Start_Time,Cast,Cast_Flag,Bottom_Depth_at_Start_Position,CTD_File,CTD_File_Flag,Niskin_Bottle_Position,Niskin_Flag,CTD_Bottle_Closure_Time,CTD_Pressure,CTD_Pressure_Flag,CTD_Depth,CTD_Latitude,CTD_Longitude,CTD_Temperature_1,CTD_Temperature_1_Flag,CTD_Temperature_2,CTD_Temperature_2_Flag,CTD_Conductivity_1,CTD_Conductivity_1_Flag,CTD_Conductivity_2,CTD_Conductivity_2_Flag,CTD_Salinity_1,CTD_Salinity_2,CTD_Oxygen,CTD_Oxygen_Flag,CTD_Oxygen_Saturation,CTD_Fluorescence,CTD_Fluorescence_Flag,CTD_Beam_Attenuation,CTD_Beam_Transmission,CTD_Transmissometer_Flag,CTD_pH,CTD_pH_Flag,Discrete_Oxygen,Discrete_Oxygen_Flag,Discrete_Oxygen_Replicate_Flag,Discrete_Chlorophyll,Discrete_Phaeopigment,Discrete_Fo_Fa_Ratio,Discrete_Fluorescence_Flag,Discrete_Fluorescence_Replicate_Flag,Discrete_Phosphate,Discrete_Silicate,Discrete_Nitrate,Discrete_Nitrite,Discrete_Ammonium,Discrete_Nutrients_Flag,Discrete_Nutrients_Replicate_Flag,Discrete_Salinity,Discrete_Salinity_Flag,Discrete_Salinity_Replicate_Flag,Discrete_Alkalinity,Discrete_Alkalinity_Flag,Discrete_Alkalinity_Replicate_Flag,Discrete_DIC,Discrete_DIC_Flag,Discrete_DIC_Replicate_Flag,Discrete_pCO2,pCO2_Analysis_Temp,Discrete_pCO2_Flag,Discrete_pCO2_Replicate_Flag,Discrete_pH,pH_Analysis_Temp,Discrete_pH_Flag,Discrete_pH_Replicate_Flag,Calculated_Alkalinity,Calculated_DIC,Calculated_pCO2,Calculated_pH,Calculated_CO2aq,Calculated_Bicarb,Calculated_CO3,Calculated_Omega_C,Calculated_Omega_A
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,2,*0000000000000100,2014-09-08T12:07:58.000Z,1509.032,*0000000000000100,1489.167,62.10702,-31.38174,3.655,*0000000000000100,3.6546,*0000000000000100,3.286371,*0000000000000100,3.286591,*0000000000000100,34.9461,34.9492,6.3251,*0000000000000100,7.30825,,,0.0862,97.8697,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,4,*0000000000000100,2014-09-08T12:08:10.000Z,1509.518,*0000000000000100,1489.645,62.10702,-31.38176,3.6548,*0000000000000100,3.6544,*0000000000000100,3.286384,*0000000000000100,3.286602,*0000000000000100,34.9463,34.9493,6.3326,*0000000000000100,7.30829,,,0.0865,97.8614,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,6,*0000000000000100,2014-09-08T12:08:22.000Z,1509.285,*0000000000000100,1489.415,62.10702,-31.38176,3.6547,*0000000000000100,3.6546,*0000000000000100,3.286351,*0000000000000100,3.2866,*0000000000000100,34.9462,34.9492,6.3246,*0000000000000100,7.30832,,,0.0871,97.8468,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,8,*0000000000000100,2014-09-08T12:08:30.000Z,1509.06,*0000000000000100,1489.195,62.10702,-31.38176,3.6547,*0000000000000100,3.6547,*0000000000000100,3.28634,*0000000000000100,3.286596,*0000000000000100,34.9462,34.9492,6.2751,*0000000000000100,7.30832,,,0.0868,97.8543,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,10,*0000000000000100,2014-09-08T12:08:38.000Z,1509.24,*0000000000000100,1489.371,62.10702,-31.38174,3.6544,*0000000000000100,3.6543,*0000000000000100,3.286338,*0000000000000100,3.286569,*0000000000000100,34.9463,34.9491,6.2838,*0000000000000100,7.30835,,,0.0868,97.8535,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,12,*0000000000000100,2014-09-08T12:08:45.000Z,1509.079,*0000000000000100,1489.213,62.10702,-31.38176,3.6544,*0000000000000100,3.6543,*0000000000000100,3.286332,*0000000000000100,3.286574,*0000000000000100,34.9463,34.9493,6.2567,*0000000000000100,7.30835,,,0.087,97.8493,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,13,*0000000000000100,2014-09-08T12:08:54.000Z,1509.051,*0000000000000100,1489.186,62.10702,-31.38174,3.6548,*0000000000000100,3.6544,*0000000000000100,3.286355,*0000000000000100,3.286575,*0000000000000100,34.9462,34.9492,6.3015,*0000000000000100,7.30829,,,0.088,97.8256,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,17,*0000000000000100,2014-09-08T12:09:02.000Z,1509.341,*0000000000000100,1489.47,62.10702,-31.38176,3.6547,*0000000000000100,3.6542,*0000000000000100,3.286362,*0000000000000100,3.286573,*0000000000000100,34.9462,34.9493,6.3135,*0000000000000100,7.30831,,,0.0868,97.8548,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,18,*0000000000000100,2014-09-08T12:09:09.000Z,1509.254,*0000000000000100,1489.385,62.10702,-31.38176,3.6547,*0000000000000100,3.6542,*0000000000000100,3.28637,*0000000000000100,3.286571,*0000000000000100,34.9463,34.9493,6.2638,*0000000000000100,7.3083,,,0.0876,97.8353,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN221-04,1,Test Site #1,62.107,-31.38166667,2014-09-08T11:39:06.000Z,1,*0000000000000100,,KN22104001.hex,*0000000000000100,20,*0000000000000100,2014-09-08T12:09:18.000Z,1509.218,*0000000000000100,1489.35,62.10702,-31.38176,3.6552,*0000000000000100,3.6548,*0000000000000100,3.286397,*0000000000000100,3.286621,*0000000000000100,34.9462,34.9493,6.3244,*0000000000000100,7.30823,,,0.087,97.849,*0000000000000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
